_AverageReward,_No_optimal_actions,Steps,adv2_0,adv2_1,adv2_2,adv2_last,adv1_0,adv1_1,adv1_2,adv1_last,adv_0_diff,adv_1_diff,adv_2_diff,adv_last_diff,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
25.336475,46.5,40000,-40.08189372,-40.08189372,-26.09624699,3.278534424,-40.08199878,-40.08199878,-26.09634553,-26.09634553,-0.000105068,-0.000105068,-9.85E-05,-29.37487996,0.015265894,0.525876294,-1.519577936,-6.676297108,0.03495756,0.999999998,36,11.14,28.85637414,0.056,1.0166984,0.99197716,0.99996936,0.3449035,3.72E-06,7.00E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.6624,46.5,40000,-11.55576938,-8.223564625,-14.3453719,5.901918004,-11.55577987,-7.535385835,-10.43420567,-10.43420567,-1.05E-05,0.68817879,3.911166237,-16.33612367,0.015022405,0.52180109,-1.924064,-7.955174921,-0.006214439,0.999999998,37,11.47,36.55692458,0.052,1.024085,0.9839608,0.9999367,0.34549707,6.39E-06,6.50E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.3751,47.5,40000,-4.442471845,-8.430460093,-3.980565829,-14.08728183,-4.442501153,-9.483309034,-5.278365341,-5.278365341,-2.93E-05,-1.052848941,-1.297799512,8.808916488,0.015062119,0.51840092,-1.455547272,-8.182185723,-0.011162702,0.999999998,38,11.8,27.67582357,0.048,1.0048691,0.9933626,0.99998605,0.34522897,4.92E-07,6.00E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.3259,47,40000,16.25611131,-7.308787623,-0.188121434,-49.76439717,16.25609407,-14.94324011,-14.55194749,-14.55194749,-1.72E-05,-7.634452486,-14.36382605,35.21244968,0.015993264,0.528051403,-1.299440299,-7.480702959,0.00165105,0.999999999,39,12.12,24.68769777,0.044,1.0069238,0.9941983,0.999974,0.34442908,1.39E-06,5.50E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.97615,46.5,40000,-147.6751871,-104.632506,-101.980887,-30.14829868,-147.6755181,-87.65390984,-84.75522737,-84.75522737,-0.000331005,16.97859617,17.22565966,-54.60692869,0.017770532,0.524526226,-1.134286255,-8.605965573,-0.004403058,0.999999999,40,12.44,21.5533936,0.04,1.0107408,0.9942478,0.99998087,0.3443756,1.06E-06,5.00E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.61795,47.5,40000,-7.670771732,-19.35807272,-19.35807272,-6.400658378,-7.67079661,-19.35806436,-19.35806436,-19.35806436,-2.49E-05,8.37E-06,8.37E-06,-12.95740598,0.016875915,0.522501125,-1.554651677,-6.984161564,-0.003397296,0.999999998,41,12.78,29.5095365,0.036,1.0036833,0.99746513,0.9999922,0.34501198,4.20E-07,4.50E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.262675,46,40000,-28.75195819,-26.80379008,-26.80379008,-9.518454475,-28.75202742,-26.80372635,-26.80372635,-26.80372635,-6.92E-05,6.37E-05,6.37E-05,-17.28527188,0.018823052,0.529576479,-1.390572533,-5.759774956,0.009642944,0.999999999,42,13.1,26.42624414,0.032,1.020432,0.99071085,0.999925,0.34448877,6.13E-06,4.00E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.4462,46,40000,-15.1953999,-25.31373662,-25.31373662,-7.495113086,-7.462313302,-27.12522202,-27.12522202,-27.12522202,7.733086593,-1.811485399,-1.811485399,-19.63010893,0.017498122,0.525876294,-1.464367435,-5.798134797,-0.006619476,0.999999999,43,13.42,27.80726349,0.028,1.0166613,0.9924659,0.9999758,0.34467015,2.77E-06,3.50E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.04995,48,40000,-46.32280872,-46.2476314,-37.15698268,-14.09323341,-31.11020598,-32.43152565,-46.90604124,-46.90604124,15.21260274,13.81610574,-9.749058561,-32.81280783,0.016025354,0.515525776,-1.550230087,-6.961976106,-0.003959917,0.999999998,44,13.76,29.41814041,0.024,1.005093,0.98900485,0.9999803,0.34511706,1.17E-06,3.00E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.74925,47,40000,6.035637577,6.035637577,6.035637577,-18.15833907,6.035686421,6.035686421,6.035686421,6.035686421,4.88E-05,4.88E-05,4.88E-05,24.19402549,0.017716008,0.523826191,-1.194190038,-6.656009538,-0.017992221,0.999999999,45,14.09,22.66309583,0.02,1.0167378,0.99399436,0.99998224,0.3444631,1.74E-06,2.50E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.88685,48,40000,-9.039314422,5.731907348,-9.039314422,-0.105708559,-9.161111131,9.239422797,-9.161111131,-9.161111131,-0.121796709,3.507515449,-0.121796709,-9.055402572,0.013906707,0.513300665,-1.768885219,-7.170465517,0.0001201,0.999999998,46,14.42,33.60857058,0.016,1.0031036,0.99432343,0.999992,0.34569693,3.93E-07,2.00E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.9814,46,40000,-21.63026188,-22.67541579,-28.46028426,-6.015985829,-26.87643394,-26.84035293,-33.11722658,-33.11722658,-5.246172061,-4.164937133,-4.656942323,-27.10124076,0.017296951,0.529451473,-1.222787207,-6.068961928,0.020421566,0.999999999,47,14.75,23.24420691,0.012,1.0053109,0.99669105,0.99998975,0.34373417,8.84E-08,1.50E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
